neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2,21,1.29561,103.8543,2,181.0,7,40,10,0.69,40,358
2,6,1.31017,103.88253,0,60.0,1,49,15,0.85,37,304
2,4,1.2843,103.83254000000001,2,181.0,2,14,1199,0.25,1,0
2,19,1.30706,103.86326,0,131.0,30,6,451,0.11,2,365
2,20,1.3218,103.84266,0,69.0,1,15,2,0.26,2,211
2,6,1.31528,103.88817,2,87.0,5,19,119,0.33,67,74
2,20,1.3258,103.85426,2,201.0,3,9,469,0.16,203,275
2,15,1.28272,103.84707,0,160.0,180,0,2137,1.04,1,365
2,9,1.30211,103.85189,2,287.0,2,152,0,2.65,3,217
2,14,1.34151,103.84163000000001,0,75.0,3,15,36,0.35,18,256
2,21,1.28895,103.85033,2,150.0,7,117,7,2.02,40,364
4,22,1.34713,103.77271999999999,0,50.0,1,4,32,0.13,4,335
2,6,1.30972,103.88266,0,60.0,1,63,16,1.09,37,348
2,7,1.29702,103.84145,0,119.0,2,1,1699,0.02,1,0
2,6,1.31368,103.88597,2,85.0,4,49,23,0.89,67,67
4,29,1.37986,103.75086999999999,0,37.0,180,0,2137,1.04,1,0
2,6,1.31316,103.88735,2,94.0,15,73,27,1.27,84,64
1,0,1.42798,103.78508000000001,2,165.0,30,5,389,0.1,1,365
2,6,1.31161,103.88143000000001,0,90.0,2,82,20,1.43,37,358
3,3,1.31387,103.93484000000001,2,168.0,4,3,443,0.05,4,304
2,10,1.3048899999999999,103.78451,0,81.0,1,2,1443,0.04,1,0
2,7,1.2923799999999999,103.83978,2,287.0,4,3,1293,0.05,1,0
2,6,1.3130700000000002,103.88623,2,119.0,10,23,191,0.4,84,88
2,6,1.31464,103.88642,2,85.0,4,80,14,1.4,84,55
2,6,1.3145,103.88606999999999,2,94.0,5,76,24,1.32,84,75
2,6,1.32962,103.88684,0,49.0,1,0,2137,1.04,1,0
2,7,1.29887,103.83603000000001,0,146.0,1,0,2137,1.04,1,365
2,6,1.31102,103.88139,0,60.0,1,36,128,0.63,37,365
2,6,1.3096,103.88166,0,60.0,1,57,32,0.99,37,352
2,6,1.31045,103.88148000000001,0,60.0,1,39,16,0.69,37,353
2,15,1.28175,103.84433,2,132.0,2,74,15,1.31,12,341
2,17,1.31761,103.8264,2,319.0,7,18,122,0.32,19,356
4,32,1.29882,103.76499,2,181.0,2,2,1495,0.04,1,0
5,25,1.3657299999999999,103.83874,0,56.0,14,2,1198,0.04,1,88
2,10,1.30008,103.79455,2,269.0,5,1,1702,0.02,1,0
1,28,1.45328,103.82199,0,19.0,180,0,2137,1.04,1,365
3,13,1.36687,103.95896,2,250.0,4,0,2137,1.04,1,0
2,12,1.29704,103.8886,2,215.0,4,5,1461,0.09,1,0
3,3,1.31217,103.91206,0,65.0,90,51,142,1.21,1,85
2,27,1.29929,103.84774,0,110.0,90,4,1122,0.09,2,281
4,8,1.34294,103.71752,0,50.0,3,1,1121,0.03,7,362
4,8,1.3414700000000002,103.71788000000001,0,75.0,1,1,1428,0.02,7,365
2,5,1.30479,103.83518000000001,2,281.0,2,21,23,0.41,38,358
4,32,1.3311,103.76794,0,99.0,5,6,164,0.3,3,284
2,1,1.3310799999999998,103.76853,0,78.0,5,27,376,0.54,3,307
2,1,1.33179,103.7664,0,87.0,5,18,328,0.36,3,269
2,24,1.30352,103.83483000000001,2,319.0,1,13,22,0.27,38,358
2,21,1.27414,103.84595999999999,2,200.0,70,3,737,0.06,3,364
2,15,1.2851,103.84195,0,42.0,90,1,999,0.03,83,365
2,15,1.28614,103.8421,0,99.0,90,2,572,0.07,83,326
2,14,1.33305,103.87235,1,46.0,180,0,2137,1.04,1,365
2,6,1.31481,103.88611,2,119.0,14,19,169,0.35,84,89
2,24,1.3069,103.83188,0,125.0,1,0,2137,1.04,1,0
2,34,1.35418,103.8336,0,60.0,1,3,25,0.23,9,356
2,19,1.31536,103.86045,0,150.0,1,0,2137,1.04,9,364
2,6,1.31114,103.88278000000001,0,90.0,1,150,15,2.68,37,337
2,15,1.28508,103.84291999999999,1,25.0,2,0,2137,1.04,1,0
5,18,1.349,103.88105,0,35.0,10,6,591,0.17,7,365
2,15,1.2836100000000001,103.84276,0,58.0,90,168,29,2.99,2,126
2,7,1.29582,103.84221,2,119.0,28,6,153,0.12,84,50
